"created_date","agency","complaint_type","descriptor","borough","incident_zip","latitude","longitude","location_type","street_name","status","resolution_description"
"2026-03-22T21:35:47.000","DOT","Street Condition","Pothole","QUEENS","11415","40.712198602397436","-73.83257218619315",,,"Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-22T21:31:16.000","DOT","Street Condition","Pothole","BROOKLYN","11209",,,,"OVINGTON AVENUE","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T21:30:23.000","DOT","Street Condition","Pothole","BRONX","10461",,,,"WESTCHESTER AVENUE","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T21:30:23.000","DOT","Street Condition","Pothole","BROOKLYN","11215",,,,"16 STREET","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-22T21:30:03.000","DOT","Street Condition","Pothole","BROOKLYN","11209",,,,"74 STREET","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T21:29:16.000","DOT","Street Condition","Pothole","BROOKLYN","11209","40.6341088542003","-74.03259535655707",,,"Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T21:29:00.000","DEP","Water System","Leak (Use Comments) (WA2)","MANHATTAN","10009","40.72713733342097","-73.97866275717689",,"EAST   11 STREET","Open",
"2026-03-22T21:27:26.000","DOT","Street Condition","Pothole","BROOKLYN","11220",,,,"68 STREET","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T21:26:59.000","DOT","Street Condition","Pothole","QUEENS","11414",,,,"78 STREET","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T21:25:35.000","DPR","Damaged Tree","Tree Alive - in Poor Condition","QUEENS","11417","40.675850323457986","-73.84083992296223","Street","96 STREET","In Progress",
"2026-03-22T21:22:28.000","DOT","Street Condition","Pothole","MANHATTAN","10033",,,,"BROADWAY","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T21:22:07.000","DOT","Street Condition","Pothole","BROOKLYN","11201",,,,"FULTON STREET","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T21:21:36.000","DOT","Street Condition","Pothole","STATEN ISLAND","10306","40.56749969598334","-74.10386858208278",,,"Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-22T21:13:26.000","DOT","Street Condition","Defective Hardware","QUEENS","11423","40.711205352700084","-73.77204448073554","Street","187 PLACE","In Progress",
"2026-03-22T21:12:54.000","DOT","Street Condition","Pothole","MANHATTAN","10012",,,,"MINETTA LANE","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-22T21:12:47.000","DOT","Street Condition","Pothole","STATEN ISLAND","10309",,,,"ENGLEWOOD AVENUE","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-22T21:12:46.000","DOT","Street Condition","Plate Condition - Noisy","MANHATTAN","10021","40.77169580618168","-73.9591815548924","Street","EAST 75 STREET","In Progress",
"2026-03-22T21:11:05.000","DOT","Street Condition","Pothole","MANHATTAN","10012",,,,"MINETTA LANE","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T21:09:18.000","DOT","Street Condition","Pothole","STATEN ISLAND","10309",,,,"ENGLEWOOD AVENUE","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T21:07:32.000","DSNY","Missed Collection","Trash","MANHATTAN","10027","40.81006343151152","-73.94382331669942","Street","LENOX AVENUE","In Progress",
"2026-03-22T21:06:00.000","DEP","Sewer","Street Flooding (SJ)","BROOKLYN","11215","40.66975455720585","-73.97526374815358",,"2 STREET","Open",
"2026-03-22T21:04:21.000","DOT","Street Condition","Cave-in","BRONX","10470","40.89827323004549","-73.86732068872747","Street","KATONAH AVENUE","In Progress",
"2026-03-22T21:01:08.000","DOT","Street Condition","Pothole","BROOKLYN","11237",,,,"HALSEY STREET","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T20:59:43.000","DOT","Street Condition","Rough, Pitted or Cracked Roads","BROOKLYN","11215","40.66587598813528","-73.99489227189268","Street","17 STREET","In Progress",
